paper_id,publication_year,publication_month
paper_10025_2.pdf,2022,9
paper_10052.pdf,2019,8
paper_10105.pdf,2020,8
paper_10115.pdf,2025,5
paper_10162.pdf,2021,9
paper_10185.pdf,2020,4
paper_10190.pdf,2025,4
paper_10272.pdf,2021,9
paper_10280.pdf,2020,5
paper_10297.pdf,2024,8
paper_10299.pdf,2009,12
paper_10305.pdf,2021,7
paper_10354.pdf,2024,12
paper_10412.pdf,2025,1
paper_10435.pdf,2023,10
paper_10464.pdf,2024,9
paper_10472.pdf,2024,11
paper_10511.pdf,2025,1
paper_10539.pdf,2024,5
paper_10583.pdf,2023,2
paper_10617.pdf,2020,4
paper_10660.pdf,2016,6
paper_10676.pdf,2023,9
paper_10730.pdf,2022,5
paper_10745.pdf,2024,6
paper_10760.pdf,2020,6
paper_10766.pdf,2025,2
paper_10820.pdf,2021,11
paper_10827.pdf,2024,5
paper_10880.pdf,2022,5
paper_10903.pdf,2025,1
paper_10936.pdf,2023,11
paper_10961.pdf,2017,12
paper_10979.pdf,2023,12
paper_10999.pdf,2024,4
paper_1102.pdf,2025,5
paper_11021.pdf,2025,5
paper_11047.pdf,2006,12
paper_11060.pdf,2014,1
paper_11087.pdf,2025,4
paper_11114.pdf,2022,11
paper_11209.pdf,2015,1
paper_11222.pdf,2021,5
paper_11232.pdf,2020,5
paper_11291.pdf,2015,11
paper_11312.pdf,2024,1
paper_11316.pdf,2025,4
paper_11320.pdf,2025,3
paper_11325.pdf,2025,4
paper_11334.pdf,2021,3
paper_11344.pdf,2024,10
paper_11363.pdf,2024,5
paper_11371.pdf,2016,8
paper_11374.pdf,2024,9
paper_11390.pdf,2025,4
paper_11457.pdf,2023,5
paper_11470.pdf,2025,2
paper_11472.pdf,2024,1
paper_11491.pdf,2024,2
paper_11524.pdf,2025,4
paper_11541.pdf,2024,10
paper_11544.pdf,2024,5
paper_11618.pdf,2022,7
paper_11657.pdf,2022,1
paper_11686.pdf,2023,4
paper_11742.pdf,2022,3
paper_11748_2.pdf,2023,10
paper_11810.pdf,2012,12
paper_11834.pdf,2024,11
paper_11846.pdf,2025,5
paper_11852.pdf,2024,9
paper_11852_2.pdf,2023,10
paper_11884.pdf,2022,4
paper_11887.pdf,2023,1
paper_11913.pdf,2025,4
paper_11924.pdf,2016,9
paper_11936.pdf,2023,9
paper_11937_2.pdf,2024,5
paper_11951.pdf,2013,6
paper_11974.pdf,2025,1
paper_12028.pdf,2022,6
paper_12032.pdf,2023,9
paper_12036.pdf,2024,5
paper_12064.pdf,2023,11
paper_12066.pdf,2021,8
paper_12076.pdf,2021,12
paper_12105.pdf,2024,7
paper_12112.pdf,2024,11
paper_12173.pdf,2019,4
paper_12176.pdf,2025,1
paper_12178.pdf,2023,2
paper_12184.pdf,2023,10
paper_12195.pdf,2024,1
paper_12205.pdf,2024,12
paper_12234.pdf,2020,7
paper_12235.pdf,2025,6
paper_12252.pdf,2022,9
paper_12258.pdf,2024,8
paper_12270.pdf,2023,10
paper_12273.pdf,2025,4
paper_12277.pdf,2023,4
paper_12284.pdf,2022,8
paper_12323.pdf,2024,3
paper_12336.pdf,2024,9
paper_12340_2.pdf,2023,9
paper_12374.pdf,2025,6
paper_12411.pdf,2024,4
paper_12449.pdf,2013,4
paper_12463.pdf,2024,2
paper_12464.pdf,2022,1
paper_12466.pdf,2021,1
paper_12476.pdf,2024,11
paper_12487.pdf,2021,10
paper_12505.pdf,2020,12
paper_12515.pdf,2025,6
paper_12535.pdf,2022,9
paper_12609.pdf,2023,12
paper_12623.pdf,2015,9
paper_12625.pdf,2024,7
paper_12626.pdf,2024,5
paper_12660.pdf,2024,1
paper_12669.pdf,2024,6
paper_12679.pdf,2024,11
paper_12694.pdf,2011,1
paper_12709.pdf,2021,5
paper_12723.pdf,2022,6
paper_12770_2.pdf,2024,6
paper_12779.pdf,2018,12
paper_12780.pdf,2025,4
paper_12783.pdf,2023,10
paper_12808.pdf,2025,1
paper_12810.pdf,2024,7
paper_12836.pdf,2024,12
paper_12847.pdf,2022,8
paper_12848.pdf,2024,11
paper_12857.pdf,2024,5
paper_12857_2.pdf,2023,9
paper_12877.pdf,2020,4
paper_12877_2.pdf,2022,4
paper_12911.pdf,2025,3
paper_12945.pdf,2025,3
paper_12991.pdf,2014,10
paper_13015.pdf,2025,4
paper_13019.pdf,2022,12
paper_13033.pdf,2024,4
paper_13062.pdf,2024,8
paper_13070.pdf,2024,3
paper_13077.pdf,2025,5
paper_13078.pdf,2024,12
paper_13082.pdf,2024,7
paper_13088.pdf,2023,8
paper_13114.pdf,2025,6
paper_13134.pdf,2024,5
paper_13152.pdf,2015,5
paper_13164.pdf,2025,1
paper_13198_2.pdf,2019,4
paper_13222.pdf,2024,1
paper_13279.pdf,2022,11
paper_13299.pdf,2023,11
paper_13318.pdf,2024,9
paper_13319.pdf,2024,2
paper_13380.pdf,2024,3
paper_13395.pdf,2022,5
paper_13396.pdf,2016,12
paper_13426.pdf,2023,6
paper_13460.pdf,2023,8
paper_13462.pdf,2024,7
paper_13465.pdf,2019,1
paper_13479.pdf,2024,10
paper_13485.pdf,2025,3
paper_13489.pdf,2024,8
paper_13528.pdf,2025,3
paper_13536.pdf,2022,7
paper_13538.pdf,2022,2
paper_13572.pdf,2024,1
paper_13575.pdf,2020,12
